SYMBOL,SERIES,LAST_TRADE_DATE
CAPLIPOINT,EQ,2024-07-05
CAPTRUST,EQ,2024-07-05
CARBORUNIV,EQ,2024-07-05
CAREERP,EQ,2024-07-05
CARERATING,EQ,2024-07-05
CARTRADE,EQ,2024-07-05
CARYSIL,EQ,2024-07-05
CASTEXTECH,EQ,2020-10-20
CASTROLIND,EQ,2024-07-05
CCCL,EQ,2023-05-24
CCHHL,EQ,2024-07-05
CCL,EQ,2024-07-05
CDSL,EQ,2024-07-05
CEATLTD,EQ,2024-07-05
CEBBCO,EQ,2022-06-17
CELEBRITY,EQ,2024-07-05
CELESTIAL,EQ,2019-09-09
CELLO,EQ,2024-07-05
CENTENKA,EQ,2024-07-05
CENTEXT,EQ,2024-07-05
CENTRALBK,EQ,2024-07-05
CENTRUM,EQ,2024-07-05
CENTUM,EQ,2024-07-05
CENTURYPLY,EQ,2024-07-05
CENTURYTEX,EQ,2024-07-05
CERA,EQ,2024-07-05
CEREBRAINT,EQ,2023-06-06
CESC,EQ,2024-07-05
CESCVENT,EQ,2021-01-29
CGCL,EQ,2024-07-05
CGPOWER,EQ,2024-07-05
CHALET,EQ,2024-07-05
CHAMBLFERT,EQ,2024-07-05
CHEMBOND,EQ,2024-07-05
CHEMCON,EQ,2024-07-05
CHEMFAB,EQ,2024-07-05
CHEMFALKAL,EQ,2017-05-24
CHEMPLASTS,EQ,2024-07-05
CHENNPETRO,EQ,2024-07-05
CHEVIOT,EQ,2024-07-05
CHOICEIN,EQ,2024-07-05
CHOLAFIN,EQ,2024-07-05
CHOLAHLDNG,EQ,2024-07-05
CHROMATIC,EQ,2020-12-16
CIEINDIA,EQ,2024-07-05
CIGNITITEC,EQ,2024-07-05
CIMMCO,EQ,2020-10-21
CINELINE,EQ,2024-07-05
CINEVISTA,EQ,2024-04-22
CIPLA,EQ,2024-07-05
CKFSL,EQ,2020-02-20
CLEAN,EQ,2024-07-05
CLEDUCATE,EQ,2024-07-05
CLNINDIA,EQ,2023-03-09
CLSEL,EQ,2024-07-05
CMICABLES,EQ,2023-04-19
CMSINFO,EQ,2024-07-05
CNOVAPETRO,EQ,2021-02-24
COALINDIA,EQ,2024-07-05
COASTCORP,EQ,2024-07-05
COCHINSHIP,EQ,2024-07-05
COFFEEDAY,EQ,2024-07-05
COFORGE,EQ,2024-07-05
COLPAL,EQ,2024-07-05
COMMOIETF,EQ,2024-07-05
COMPINFO,EQ,2023-10-27
COMPUSOFT,EQ,2024-07-05
COMSYN,EQ,2024-07-05
CONCOR,EQ,2024-07-05
CONCORDBIO,EQ,2024-07-05
CONFIPET,EQ,2024-07-05
CONS,EQ,2024-07-05
CONSOFINVT,EQ,2024-07-05
CONSUMBEES,EQ,2024-07-05
CONSUMIETF,EQ,2024-07-05
CONTROLPR,EQ,2024-07-05
CORALFINAC,EQ,2024-07-05
CORDSCABLE,EQ,2024-06-26
COROMANDEL,EQ,2024-07-05
CORPBANK,EQ,2020-03-19
COSMOFILMS,EQ,2022-07-22
COSMOFIRST,EQ,2024-07-05
